t_h,Xylan_gL,Xylose_gL,XOS_gL,X_eng_gL,X_bifido_gL,SCFA_gL,T_C,pH,DO_mgL
31.700000000000003,9.955780305415997,0.014972998329793936,0.02704332082363509,34.960727106282754,0.008312454789989168,0.0003112370595086569,30.523911315558994,6.499996783592405,4.830238836751934
31.8,9.954827911743628,0.01529553983884241,0.027634601114575767,35.713064890569804,0.00830645206936849,0.0003142103504789364,30.542219944547398,6.499995338242116,4.793553470500728
31.900000000000002,9.953851245034418,0.01562634533617579,0.028240946800137463,36.48463973473038,0.008300518167999113,0.0003172437860817081,30.561023910476315,6.499993920814915,4.75571712888044
32.0,9.952849508988374,0.015965687782367764,0.028862848668047253,37.276084772663175,0.008294655282272587,0.0003203400479001174,30.580339404692022,6.499992530182712,4.716682407566665
32.1,9.951821872840357,0.016313852030179148,0.02950081858307834,38.08806057964529,0.008288865714681643,0.0003235019717700993,30.6001833166158,6.499991165237163,4.676399413542244
32.2,9.950767469495135,0.016671135471631945,0.03015539061824274,38.921256655816904,0.00828315188010803,0.0003267325586050994,30.620573271348015,6.499989824888321,4.63481560928378
32.300000000000004,9.949685393509135,0.017037848738514504,0.0308271222782929,39.77639303135473,0.008277516312662294,0.00033003498631135365,30.641527670350683,6.499988508063249,4.591875641973441
32.4,9.948574698897465,0.017414316463722487,0.03151659582847362,40.65422201029582,0.00827196167314919,0.00033341262293443895,30.66306573563872,6.499987213704592,4.5475211575876635
32.5,9.947434396844196,0.017800878076448878,0.03222441968101219,41.55552999089119,0.008266490756905647,0.0003368690406440792,30.68520755590336,6.49998594076915,4.501690605776276
32.6,9.946263453242263,0.018197888656831352,0.032951229883929095,42.48113942105026,0.008261106502264536,0.00034040803101806816,30.707974136051668,6.4999846882264265,4.454319027843409
32.7,9.945060786060623,0.018605719850888425,0.033697691713393804,43.43191089060039,0.008255811999659236,0.0003440336216891366,30.731387450204775,6.499983455057125,4.405337828226808
32.800000000000004,9.943825262527017,0.019024760849866276,0.034464501376546934,44.40874536958632,0.008250610501417012,0.00034775009448069174,30.7554704983875,6.499982240251609,4.354674528392487
32.9,9.942555696111288,0.019455419439270687,0.0352523878336904,45.412586604446595,0.008245505432301155,0.0003515620051838437,30.780247367208187,6.49998104280833,4.302252501290984
33.0,9.941250843327946,0.019898123111122816,0.0360621147283582,46.44442365709328,0.008240500400743837,0.00035547420490769893,30.80574329414855,6.499979861732186,4.247990687807339
33.1,9.939909400253454,0.020353320275924125,0.03689448248809619,47.505293669801496,0.008235599211149244,0.0003594918637858812,30.831984737560965,6.499978696032819,4.19180328460678
33.2,9.938529998656746,0.0208214816095495,0.03775033065709009,48.59628493627742,0.008230805877628292,0.00036362049777755083,30.85899945440872,6.499977544722771,4.133599397287812
33.300000000000004,9.93711120219213,0.02130310137904359,0.038630540189164266,49.71853992217933,0.008226124637602526,0.0003678659956595944,30.886816576713723,6.499976406815707,4.073282698241655
33.4,9.93565150209947,0.02179869894056181,0.03953603603567132,50.87325867555779,0.008221559967245056,0.00037223465005191517,30.91546669786195,6.499975281324475,4.0107510302507
33.5,9.934149312523958,0.022308820370347027,0.04046778996038411,52.06170253786261,0.008217116598372067,0.0003767331918174983,30.94498196650472,6.4999741672590226,3.9458959754829666
33.6,9.932602965554235,0.02283404019457767,0.04142682352112158,53.28519807673874,0.00821279953646242,0.0003813688273589263,30.97539618605725,6.499973063624235,3.8786023989953353
33.7,9.93101070584785,0.023374963263807755,0.04241421129671114,54.54514134434219,0.008208614080282794,0.00038614927983678733,31.00674492241938,6.499971969417635,3.808747947227392
33.800000000000004,9.929370684960002,0.023932226731702692,0.043431084289081,55.84300236892528,0.008204565842716236,0.0003910828336014897,31.039065617582434,6.499970883626977,3.736202515872807
33.9,9.927680955137447,0.024506502221377097,0.044478633642722816,57.180330067948496,0.008200660773690551,0.0003961783838912078,31.072397713881003,6.499969805227663,3.660827660909779
34.0,9.92593946250501,0.025098498204591733,0.04555811472472166,58.55875763977499,0.008196905185481962,0.00040144549249209545,31.10678279033333,6.499968733179913,3.582475950797045
34.1,9.924144039943048,0.025708962490044566,0.04667085138541394,59.98000819710341,0.008193305779333734,0.00040689444732795147,31.142264705075245,6.4999676664258335,3.500990286130721
34.2,9.9222923992275,0.0263386849706537,0.04781824065529204,61.44590098058539,0.0081898696750059,0.0004125363297203977,31.178889752442995,6.499966603886204,3.416203138559159
34.300000000000004,9.920382122222815,0.02698850070289799,0.04900175800311619,62.95835831770207,0.008186604444055867,0.00041838309133778703,31.21670683888048,6.4999655444568765,3.327935698900998
34.4,9.918410652136739,0.027659292966360362,0.05022296255023857,64.51941252822566,0.008183518143125153,0.00042444763276938013,31.255767657469598,6.499964487005197,3.2359970306045835
34.5,9.916375283576517,0.028351996744395945,0.051483502993297695,66.13121377195566,0.008180619351991408,0.00043074389477629253,31.29612688625413,6.49996343036595,3.140183083545342
34.6,9.914273151644586,0.02906760254261311,0.05278512409213892,67.79603864940147,0.008177917215520344,0.00043728696061500177,31.337842405571198,6.499962373336891,3.04027561515222
34.7,9.912101220311301,0.02980716046281259,0.05412967357867773,69.51629936603747,0.008175421488692538,0.00044409316808910617,31.380975529594746,6.4999613146739454,2.936041042602722
34.800000000000004,9.909856269762516,0.030571784638599813,0.055519109665335686,71.2945536975171,0.008173142585888854,0.00045118023452037185,31.425591258089103,6.499960253085974,2.82722917722075
34.9,9.90753488265531,0.03136265805646369,0.05695550919053846,73.13351580654864,0.008171091634746339,0.00045856739598173926,31.47175854965003,6.499959187229026,2.7135718454288424
35.0,9.905133429187725,0.03218103779599567,0.05844107645474676,75.03606798360713,0.008169280535010093,0.0004662755625083884,31.519550618252083,6.499958115700042,2.5947813855638104
