t_s,T_actual,T_target,pid_output,p_heater_w,p_peltier_w,peltier_on,peltier_auto
450.0,35.002,35.0,0.0499,4.99,0.0,0,1
451.0,35.002,35.0,0.0499,4.99,0.0,0,1
452.0,35.002,35.0,0.0499,4.99,0.0,0,1
453.0,35.002,35.0,0.0499,4.99,0.0,0,1
454.0,35.002,35.0,0.0499,4.99,0.0,0,1
455.0,35.002,35.0,0.0499,4.99,0.0,0,1
456.0,35.002,35.0,0.0499,4.99,0.0,0,1
457.0,35.002,35.0,0.0499,4.99,0.0,0,1
458.0,35.002,35.0,0.0499,4.99,0.0,0,1
459.0,35.002,35.0,0.0499,4.99,0.0,0,1
460.0,35.002,35.0,0.0499,4.99,0.0,0,1
461.0,35.002,35.0,0.05,5.0,0.0,0,1
462.0,35.002,35.0,0.05,5.0,0.0,0,1
463.0,35.002,35.0,0.05,5.0,0.0,0,1
464.0,35.002,35.0,0.05,5.0,0.0,0,1
465.0,35.002,35.0,0.05,5.0,0.0,0,1
466.0,35.002,35.0,0.05,5.0,0.0,0,1
467.0,35.002,35.0,0.05,5.0,0.0,0,1
468.0,35.002,35.0,0.05,5.0,0.0,0,1
469.0,35.001,35.0,0.05,5.0,0.0,0,1
470.0,35.001,35.0,0.05,5.0,0.0,0,1
471.0,35.001,35.0,0.05,5.0,0.0,0,1
472.0,35.001,35.0,0.05,5.0,0.0,0,1
473.0,35.001,35.0,0.05,5.0,0.0,0,1
